line : 1 [-4, 3, 5, -1, 3, -4, 6, -12, [-6, 4], (2*L+3)^2*(10463*L+1656)*(12100*L-4047), true]
line : 2 [3, 5, -1, -4, -4, 6, -12, 3, [-6, 4], (2*L+3)^2*(10463*L+1656)*(12100*L-4047), true]
line : 3 [5, -1, -4, -4, 6, -12, 3, 3, [8, 25], (25*L-8)^2*(41291*L-13464)^2, true]
line : 4 [-1, -4, -4, 3, -12, 3, 3, -4, [-12, 1], (L+12)^2*(784*L+33)^2, true]
line : 5 [-4, -4, 3, 5, 3, 3, -4, 6, [24, 49], (49*L-24)^2*(48167*L+7704)^2, true]
line : 6 [-4, -3, -7, -7, 3, -4, 10, -60, [-6, 4], (2*L+3)^2*(2374227719*L^2+1263750624*L-953856), true]
line : 7 [-3, -7, -7, -4, -4, 10, -60, 3, [-6, 4], (2*L+3)^2*(2374227719*L^2+1263750624*L-953856), true]
line : 8 [-7, -7, -4, -4, 10, -60, 3, 3, [8, 25], (25*L-8)^2*(73*L-72)^2, true]
line : 9 [-7, -4, -4, -3, -60, 3, 3, -4, [-20, 9], (9*L+20)^2*(311*L+55)^2, true]
line : 10 [-4, -4, -3, -7, 3, 3, -4, 10, [120, 289], (289*L-120)^2*(26561*L+13320)^2, true]
line : 11 [-5, 4, 5, -1, 4, -5, 6, -20, [-6, 4], (2*L+3)^2*(13622*L+1425)*(4288627*L-1115112), true]
line : 12 [4, 5, -1, -4, -5, 6, -20, 3, [-8, 9], (9*L+8)^4, true]
line : 13 [5, -1, -4, -5, 6, -20, 3, 4, [10, 36], (18*L-5)^2*(4491*L-1960)*(146130876*L-37407785), true]
line : 14 [-1, -4, -5, 4, -20, 3, 4, -5, [-12, 1], (L+12)^2*(5289872*L+133089)*(52375568*L+1563441), true]
line : 15 [-4, -5, 4, 5, 3, 4, -5, 6, [40, 81], (81*L-40)^2*(2428203*L+179080)*(29144793*L+3537880), true]
line : 16 [-6, -1, -1, -1, 5, -90, -90, -90, [-6, 4], 1, false]
line : 17 [-1, -1, -1, -4, -90, -90, -90, 3, [-10, 16], 1, false]
line : 18 [-1, -1, -4, -6, -90, -90, 3, 5, [180, 361], (7693*L+360)^2*(19543*L-56700)^2, false]
line : 19 [-1, -4, -6, -1, -90, 3, 5, -90, [180, 361], (7693*L+360)^2*(19543*L-56700)^2, false]
line : 20 [-4, -6, -1, -1, 3, 5, -90, -90, [180, 361], (7693*L+360)^2*(19543*L-56700)^2, false]
line : 22 [10, -12, 164, -4, -56, -64, 6720, 3, [-10, 16], 1, false]
line : 23 [-12, 164, -4, -6, -64, 6720, 3, 5, [112, 324], (21*L+2)*(2283*L+896)*(20727689243845203*L^2+103628374506989622*L-51495786118208768), false]
line : 24 [164, -4, -6, 10, 6720, 3, 5, -56, [128, 400], (245*L+32)*(9147*L-1496)*(255492164516065813945*L^2-54486831721359723944*L+2906494105476969216), false]
line : 25 [-4, -6, 10, -12, 3, 5, -56, -64, [-13440, 16], (22057*L+480)*(57319*L+12600)*(507513125494054804990081*L^2+125184012854608450470029160*L+6325844225797537914412800), false]
line : 27 [-12, 10, -45, -4, -45, -75, 450, 3, [-10, 16], 1, false]
line : 28 [10, -45, -4, -6, -75, 450, 3, 5, [90, 324], (147*L+80)*(18324*L-2275)*(3392721106789788*L^2-879395527019205*L+56356671058000), false]
line : 29 [-45, -4, -6, -12, 450, 3, 5, -45, [150, 400], (637*L+48)*(1510*L+693)*(1790785493026850*L^2+30444565264791*L-342631141124976), false]
line : 30 [-4, -6, -12, 10, 3, 5, -45, -75, [-900, 225], 1, false]
line : 32 [7, -25, -81, -4, -44, -84, 770, 3, [-10, 16], 1, false]
line : 33 [-25, -81, -4, -6, -84, 770, 3, 5, [88, 225], (4017*L+2024)*(5145*L+352)*(138781991735317228185*L^2-30548086601484437304*L-19072087868629393664), false]
line : 34 [-81, -4, -6, 7, 770, 3, 5, -44, [168, 961], (2317*L-96)*(3338849*L-203112)*(97586033260329789667*L^2-16271734449216912792*L+672104862425864448), false]
line : 35 [-4, -6, 7, -25, 3, 5, -44, -84, [-1540, 3481], (8099*L+110)*(6844407*L+492800)*(144447923998818607*L^2+5725849708455415*L-512794733012100), false]
line : 36 [-6, -1, -1, -1, 5, -42, -210, -210, [-6, 4], 1, false]
line : 37 [-1, -1, -1, -4, -42, -210, -210, 3, [-10, 16], 1, false]
line : 38 [-1, -1, -4, -6, -210, -210, 3, 5, [84, 169], (511*L+24)^2*(92177*L-109956)^2, false]
line : 39 [-1, -4, -6, -1, -210, 3, 5, -42, [420, 841], (2569*L+120)^2*(1203454309171*L^2-1139927287800*L+591870510000), false]
line : 40 [-4, -6, -1, -1, 3, 5, -42, -210, [420, 841], (2569*L+120)^2*(1203454309171*L^2-1139927287800*L+591870510000), false]
line : 42 [-9, 15, -41, -4, -36, -126, 420, 3, [-10, 16], 1, false]
line : 43 [15, -41, -4, -6, -126, 420, 3, 5, [72, 225], (245*L+32)*(9147*L-1496)*(31272070134918585*L^2-5256288179431528*L+315991372827392), false]
line : 44 [-41, -4, -6, -9, 420, 3, 5, -36, [252, 729], (21*L+2)*(2283*L+896)*(226992401703*L^2-568800041253*L+181862472232), false]
line : 45 [-4, -6, -9, 15, 3, 5, -36, -126, [-840, 1], (22057*L+480)*(57319*L+12600)*(1164400827886716809*L^2+52133424733559224680*L+2733155087882284800), false]
line : 47 [4, -36, 74, -4, -32, -352, 1320, 3, [-10, 16], 1, false]
line : 48 [-36, 74, -4, -6, -352, 1320, 3, 5, [64, 144], (147*L+8)*(10131*L+10132)*(43872316609668525*L^2+119581440890256804*L+37220863596076576), false]
line : 49 [74, -4, -6, 4, 1320, 3, 5, -32, [704, 2704], (49*L-44)*(647835*L-76516)*(10474488379622469579*L^2+1612079537818322584*L-389337811206789456), false]
line : 50 [-4, -6, 4, -36, 3, 5, -32, -352, [-2640, 196], (30919*L+660)*(4209611*L-12068100)*(3786840474651047745869*L^2+1081680713582559866160*L+74700202036955814000), false]
line : 52 [6, 27, -36, -4, -27, 162, -405, 3, [-10, 16], 1, false]
line : 53 [27, -36, -4, -6, 162, -405, 3, 5, [54, 144], (637*L+48)*(1510*L+693)*(363529207528840*L^2+11012885147667*L-652758920629200), false]
line : 54 [-36, -4, -6, 6, -405, 3, 5, -27, [-324, 81], 1, false]
line : 55 [-4, -6, 6, 27, 3, 5, -27, 162, [810, 2916], (147*L+80)*(18324*L-2275)*(233369981290186722*L^2+20290814261945055*L-7643950917218000), false]
line : 58 [10, 10, -1, -4, -24, 24, -30, 3, [-10, 16], 1, false]
line : 59 [-10, -10, -1, -4, -24, 24, -30, 3, [-10, 16], 1, false]
line : 62 [-1, -4, -6, 10, -30, 3, 5, -24, [-48, 4], 1, false]
