"LINE", "SPECTRA", "IDEAL J", "IDEAL I"
"line 1", "[7, 7, 4, 4, 10, -60, 3, 3, -25, -8]", "[2, [1, 2]]", "[2, [1, 2]]"
"line 2", "[4, 4, 3, 7, 3, 3, -4, 10, -289, -120]", "[2, [1, 2]]", "[2, [1, 2]]"
"line 88", "[-3, 4, 7, 7, -130, 3, 10, 10, -256, -78]", "[2, [1, 2]]", "[2, [1, 2]]"
"line 89", "[4, 7, 7, 10, 3, 10, 10, -39, -529, -260]", "[2, [1, 2]]", "[2, [1, 2]]"
"line 90", "[12, -5, 4, 7, -85, -204, 3, 10, -1, 24]", "[2, [1, 2]]", "[2, [1, 2]]"
"line 91", "[-5, 4, 7, 7, -204, 3, 10, 12, -484, -170]", "[2, [1, 2]]", "[2, [1, 2]]"
"line 92", "[4, 7, 7, 12, 3, 10, 12, -85, -841, -408]", "[2, [1, 2]]", "[2, [1, 2]]"
"line 101", "[5, 5, 5, 5, -24, 4, 6, 6, -121, -48]", "[1, [4]]", "[2, [4, 4, 4, 5, 5]]"
"line 102", "[5, 5, 5, 5, 4, 6, 6, -24, -121, -48]", "[1, [4]]", "[2, [4, 4, 4, 5, 5]]"
"line 103", "[5, 5, 5, 5, -84, 4, 6, 6, -81, -28]", "[1, [4]]", "[2, [4, 4, 4, 4, 4]]"
"line 104", "[5, 5, 5, 5, 4, 6, 6, -14, -361, -168]", "[1, [4]]", "[2, [4, 4, 4, 5, 5]]"
