"LINE", "SPECTRA", "IDEAL J", "IDEAL I"
"line 3", "[1, 1, 1, 4, -90, -90, -90, 3, -16, 10]", "[infinity, [0]]", "[infinity, [0]]"
"line 4", "[1, 1, 4, 6, -90, -90, 3, 5, -361, -180]", "[2, [1, 2]]", "[infinity, [0]]"
"line 5", "[1, 4, 6, 1, -90, 3, 5, -90, -361, -180]", "[2, [1, 2]]", "[infinity, [0]]"
"line 6", "[4, 6, 1, 1, 3, 5, -90, -90, -361, -180]", "[2, [1, 2]]", "[infinity, [0]]"
"line 7", "[-10, 12, -164, 4, -56, -64, 6720, 3, -16, 10]", "[2, [1, 1]]", "[infinity, [0]]"
"line 8", "[12, -164, 4, 6, -64, 6720, 3, 5, -324, -112]", "[2, [1, 2]]", "[infinity, [0]]"
"line 9", "[-164, 4, 6, -10, 6720, 3, 5, -56, -400, -128]", "[2, [1, 2]]", "[infinity, [0]]"
"line 10", "[4, 6, -10, 12, 3, 5, -56, -64, -16, 13440]", "[2, [1, 2]]", "[infinity, [0]]"
"line 11", "[12, -10, 45, 4, -45, -75, 450, 3, -16, 10]", "[2, [1, 1]]", "[infinity, [0]]"
"line 12", "[-10, 45, 4, 6, -75, 450, 3, 5, -324, -90]", "[2, [1, 2]]", "[infinity, [0]]"
"line 13", "[45, 4, 6, 12, 450, 3, 5, -45, -400, -150]", "[2, [1, 2]]", "[infinity, [0]]"
"line 14", "[4, 6, 12, -10, 3, 5, -45, -75, -225, 900]", "[2, [1, 2]]", "[infinity, [0]]"
"line 15", "[-7, 25, 81, 4, -44, -84, 770, 3, -16, 10]", "[2, [1, 1]]", "[infinity, [0]]"
"line 16", "[25, 81, 4, 6, -84, 770, 3, 5, -225, -88]", "[2, [1, 2]]", "[infinity, [0]]"
"line 17", "[81, 4, 6, -7, 770, 3, 5, -44, -961, -168]", "[2, [1, 2]]", "[infinity, [0]]"
"line 18", "[4, 6, -7, 25, 3, 5, -44, -84, -3481, 1540]", "[2, [1, 2]]", "[infinity, [0]]"
"line 19", "[1, 1, 1, 4, -42, -210, -210, 3, -16, 10]", "[infinity, [0]]", "[infinity, [0]]"
"line 20", "[1, 1, 4, 6, -210, -210, 3, 5, -169, -84]", "[2, [1, 2]]", "[infinity, [0]]"
"line 21", "[1, 4, 6, 1, -210, 3, 5, -42, -841, -420]", "[2, [1, 2]]", "[infinity, [0]]"
"line 22", "[4, 6, 1, 1, 3, 5, -42, -210, -841, -420]", "[2, [1, 2]]", "[infinity, [0]]"
"line 23", "[9, -15, 41, 4, -36, -126, 420, 3, -16, 10]", "[2, [1, 1]]", "[infinity, [0]]"
"line 24", "[-15, 41, 4, 6, -126, 420, 3, 5, -225, -72]", "[2, [1, 2]]", "[infinity, [0]]"
"line 25", "[41, 4, 6, 9, 420, 3, 5, -36, -729, -252]", "[2, [1, 2]]", "[infinity, [0]]"
"line 26", "[4, 6, 9, -15, 3, 5, -36, -126, -1, 840]", "[2, [1, 2]]", "[infinity, [0]]"
"line 27", "[-4, 36, -74, 4, -32, -352, 1320, 3, -16, 10]", "[2, [1, 1]]", "[infinity, [0]]"
"line 28", "[36, -74, 4, 6, -352, 1320, 3, 5, -144, -64]", "[2, [1, 2]]", "[infinity, [0]]"
"line 29", "[-74, 4, 6, -4, 1320, 3, 5, -32, -2704, -704]", "[2, [1, 2]]", "[infinity, [0]]"
"line 30", "[4, 6, -4, 36, 3, 5, -32, -352, -196, 2640]", "[2, [1, 2]]", "[infinity, [0]]"
"line 31", "[-6, -27, 36, 4, -27, 162, -405, 3, -16, 10]", "[2, [1, 1]]", "[infinity, [0]]"
"line 32", "[-27, 36, 4, 6, 162, -405, 3, 5, -144, -54]", "[2, [1, 2]]", "[infinity, [0]]"
"line 33", "[36, 4, 6, -6, -405, 3, 5, -27, -81, 324]", "[2, [1, 2]]", "[infinity, [0]]"
"line 34", "[4, 6, -6, -27, 3, 5, -27, 162, -2916, -810]", "[2, [1, 2]]", "[infinity, [0]]"
"line 35", "[5, 25, 101, 4, -24, 114, -2280, 3, -16, 10]", "[2, [1, 1]]", "[infinity, [0]]"
"line 36", "[25, 101, 4, 6, 114, -2280, 3, 5, -121, -48]", "[2, [1, 2]]", "[infinity, [0]]"
"line 37", "[101, 4, 6, 5, -2280, 3, 5, -24, -169, 228]", "[2, [1, 2]]", "[infinity, [0]]"
"line 38", "[4, 6, 5, 25, 3, 5, -24, 114, -19321, -4560]", "[2, [1, 2]]", "[infinity, [0]]"
"line 39", "[8, 15, -20, 4, -20, 50, -300, 3, -16, 10]", "[2, [1, 1]]", "[infinity, [0]]"
"line 40", "[15, -20, 4, 6, 50, -300, 3, 5, -144, -40]", "[2, [1, 2]]", "[infinity, [0]]"
"line 41", "[-20, 4, 6, 8, -300, 3, 5, -20, -25, 100]", "[2, [1, 2]]", "[infinity, [0]]"
"line 42", "[4, 6, 8, 15, 3, 5, -20, 50, -1600, -600]", "[2, [1, 2]]", "[infinity, [0]]"
"line 43", "[-9, -24, 4, 6, 18, -180, 3, 5, -64, -24]", "[2, [1, 2]]", "[infinity, [0]]"
"line 44", "[-24, 4, 6, -4, -180, 3, 5, -12, -9, 36]", "[2, [1, 2]]", "[infinity, [0]]"
"line 45", "[4, 6, -4, -9, 3, 5, -12, 18, -1296, -360]", "[2, [1, 2]]", "[infinity, [0]]"
"line 46", "[-13, -20, 4, 8, -14, 84, 3, 7, -16, 24]", "[2, [1, 2]]", "[infinity, [0]]"
"line 47", "[-20, 4, 8, -8, 84, 3, 7, 12, -225, -28]", "[2, [1, 2]]", "[infinity, [0]]"
"line 48", "[4, 8, -8, -13, 3, 7, 12, -14, -64, 168]", "[2, [1, 2]]", "[infinity, [0]]"
"line 49", "[8, 4, 8, 8, -105, 3, 7, 15, -289, -60]", "[infinity, [0]]", "[infinity, [0]]"
"line 50", "[4, 8, 8, 13, 3, 7, 15, -30, -484, -210]", "[2, [1, 2]]", "[infinity, [0]]"
