"LINE", "SPECTRA", "IDEAL J", "IDEAL I"
"line 1", "[7, 7, 4, 4, 10, -60, 3, 3, -25, -8, 1, 5, 28]", "[2, [1, 2]]", "[8, [1, 2, 1, 1, 1, 1, 1, 1]]"
"line 2", "[4, 4, 3, 7, 3, 3, -4, 10, -289, -120, 1, 9, 296]", "[2, [1, 2]]", "[8, [1, 2, 1, 1, 1, 1, 1, 1]]"
"line 86", "[-3, 4, 7, 7, -130, 3, 10, 10, -256, -78, 1, 12, 266]", "[2, [1, 2]]", "[8, [1, 2, 1, 1, 1, 1, 1, 1]]"
"line 87", "[4, 7, 7, 10, 3, 10, 10, -39, -529, -260, 1, -1, 526]", "[2, [1, 2]]", "[8, [1, 2, 1, 1, 1, 1, 1, 1]]"
"line 88", "[12, -5, 4, 7, -85, -204, 3, 10, -1, 24, 1, 9, 8]", "[2, [1, 2]]", "[8, [1, 2, 1, 1, 1, 1, 1, 1]]"
"line 89", "[-5, 4, 7, 7, -204, 3, 10, 12, -484, -170, 1, 14, 496]", "[2, [1, 2]]", "[8, [1, 2, 1, 1, 1, 1, 1, 1]]"
"line 90", "[4, 7, 7, 12, 3, 10, 12, -85, -841, -408, 1, -3, 836]", "[2, [1, 2]]", "[8, [1, 2, 1, 1, 1, 1, 1, 1]]"
"line 99", "[5, 5, 5, 5, -24, 4, 6, 6, -121, -48, 1, 7, 126]", "[1, [4]]", "[8, [4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4]]"
"line 100", "[5, 5, 5, 5, 4, 6, 6, -24, -121, -48, 1, 7, 126]", "[1, [4]]", "[8, [4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4]]"
"line 101", "[5, 5, 5, 5, -84, 4, 6, 6, -81, -28, 1, 7, 86]", "[1, [4]]", "[8, [4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3]]"
"line 102", "[5, 5, 5, 5, 4, 6, 6, -14, -361, -168, 1, 7, 366]", "[1, [4]]", "[8, [4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4]]"
